Year,State,State Name,Population,Total Arrests,Arrests per Capita,Larceny - Theft,Vehicle Theft,Arson,Burglary,Embezzlement,Forgery and Counterfeiting,Fraud,Vandalism,Dealing in Stolen Property,Larceny - Theft (%),Vehicle Theft (%),Burglary (%),Vandalism (%),Fraud (%),Dealing in Stolen Property (%),Forgery and Counterfeiting (%),Embezzlement (%),Arson (%)
2011,KY,Kentucky,4477251.0,26151,584.0860831791651,15560,614,146,3944,353,1253,1188,1252,1841,1.51814801552882,1.1622844378821435,1.6746279430184914,0.6563255206831656,0.900013636570251,2.47572684973508,2.233511586452763,2.7451590325841826,1.5758229897463574
2012,KY,Kentucky,4477251.0,27482,613.8141462249938,16961,688,186,4100,454,1140,1001,1142,1810,1.618119581145439,1.2296473700201962,1.7749148257336675,0.6181627251124547,0.8023919456201104,2.275556002564715,2.0939331043476663,3.5377542273825293,1.982942430703625
2013,KY,Kentucky,4477251.0,28416,634.6751611647416,18195,625,172,3762,452,1081,1084,1104,1941,1.7694235442735153,0.8551569384013354,1.8272780260345833,0.673848689230018,0.9416097705043345,2.5678679155421493,2.1863560059057905,3.508499573080804,2.0202020202020203
2014,KY,Kentucky,4477251.0,29070,649.2823386493186,18913,645,147,3570,507,1053,1174,1113,1948,1.8730879657094075,1.1714706042608838,1.8590070715170957,0.6969710252925964,1.0365347601137185,2.7168758716875874,2.2967696904922894,3.8856529736358065,1.9372693726937271
2015,KY,Kentucky,4477251.0,27059,604.3663846409326,17125,694,78,3261,487,1025,1150,1078,2161,1.7988728814004422,1.112892880051315,1.8498034477477325,0.6939795024978112,1.0512459549883906,2.9966857570757006,2.2739373502529063,3.7585860924596743,1.0878661087866108
2016,KY,Kentucky,4477251.0,24770,553.241263444913,14393,895,53,3052,457,1057,1056,1148,2659,1.6294226661036388,1.2661988568841605,1.7632038083353552,0.7059923251008561,0.9743135518157661,3.367271990476914,2.230146003882184,3.3761820330969265,0.6470516420461483
2017,KY,Kentucky,4477251.0,24843,554.871728210011,13495,953,69,3032,415,1157,1467,1198,3057,1.5777849746233248,1.1601295254790251,1.6796481159356063,0.7373305924494393,1.2798590148488074,3.68770884350459,2.4035065852341186,2.9098303183284253,0.8920491273432449
2018,KY,Kentucky,4477251.0,25633,572.5164838870995,13589,1046,127,2954,414,1381,1755,1256,3111,1.8100397332292608,1.4010179480310743,1.9804104289995375,0.840898744007927,1.7255449477420433,3.9486710836950727,3.260305019122716,3.3820766277264926,1.6734747661088418
2019,KY,Kentucky,4477251.0,23882,533.4076646585147,12567,1033,170,2776,368,1106,1469,1430,2963,1.7079996140113864,1.4520663480461062,1.8959806030802855,0.9809099826454387,1.4612117414182408,4.06608939084135,2.889614630960157,3.1054852320675104,2.353918582110219
2020,KY,Kentucky,4477251.0,13368,298.57606821685897,6535,712,65,2006,273,477,779,963,1558,1.2859743198701235,1.0611819062523289,1.6680248124927244,0.7339939024390243,1.2010854482099356,2.3729381482553267,1.941629014531689,3.676272555884729,0.8904109589041096
