State,Year,Crime,Arrests,Population,Crime Rate Per Capita
FL,2017,Fraud,11601,21733312,0.0005337888675228148
FL,2018,Fraud,489,21733312,2.250002208591125e-05
FL,2019,Fraud,11226,21733312,0.0005165342493587724
FL,2020,Fraud,8230,21733312,0.0003786813533068499
FL,2021,Fraud,16,21733312,7.361970416658078e-07
FL,2017,Larceny - Theft,65969,21733312,0.0030353864151032297
FL,2018,Larceny - Theft,2166,21733312,9.966267451550872e-05
FL,2019,Larceny - Theft,64087,21733312,0.002948791238077289
FL,2020,Larceny - Theft,46556,21733312,0.0021421493419870844
FL,2021,Larceny - Theft,92,21733312,4.233132989578395e-06
FL,2017,Vandalism,6333,21733312,0.00029139599155434754
FL,2018,Vandalism,210,21733312,9.662586171863727e-06
FL,2019,Vandalism,5956,21733312,0.0002740493487600969
FL,2020,Vandalism,5823,21733312,0.0002679297108512499
FL,2021,Vandalism,13,21733312,5.981600963534688e-07
FL,2017,"Stolen Property: Buying, Receiving, Possessing",1838,21733312,8.457063516135966e-05
FL,2018,"Stolen Property: Buying, Receiving, Possessing",86,21733312,3.957059098953717e-06
FL,2019,"Stolen Property: Buying, Receiving, Possessing",1512,21733312,6.957062043741883e-05
FL,2020,"Stolen Property: Buying, Receiving, Possessing",1318,21733312,6.064423130722091e-05
FL,2021,"Stolen Property: Buying, Receiving, Possessing",21,21733312,9.662586171863727e-07
GA,2017,Motor Vehicle Theft,1672,10710017,0.0001561155318427599
GA,2018,Motor Vehicle Theft,1243,10710017,0.00011605957301468336
GA,2019,Motor Vehicle Theft,519,10710017,4.845930683396674e-05
GA,2020,Motor Vehicle Theft,753,10710017,7.030801164928124e-05
GA,2021,Motor Vehicle Theft,1276,10710017,0.00011914080061684309
GA,2017,Arson,173,10710017,1.6153102277988914e-05
GA,2018,Arson,139,10710017,1.29785041424304e-05
GA,2019,Arson,92,10710017,8.590089072687747e-06
GA,2020,Arson,110,10710017,1.0270758673865784e-05
GA,2021,Arson,116,10710017,1.0830981874258463e-05
GA,2017,Burglary,4735,10710017,0.0004421094756432226
GA,2018,Burglary,3613,10710017,0.0003373477371697916
GA,2019,Burglary,1663,10710017,0.0001552751970421709
GA,2020,Burglary,1460,10710017,0.0001363209787622186
GA,2021,Burglary,1745,10710017,0.00016293158078087085
GA,2017,Embezzlement,325,10710017,3.034542335460345e-05
GA,2018,Embezzlement,208,10710017,1.942107094694621e-05
GA,2019,Embezzlement,46,10710017,4.2950445363438735e-06
GA,2020,Embezzlement,8,10710017,7.469642671902388e-07
GA,2021,Embezzlement,29,10710017,2.7077454685646158e-06
GA,2017,Forgery and Counterfeiting,2697,10710017,0.00025182032857650925
GA,2018,Forgery and Counterfeiting,2083,10710017,0.00019449082106965843
GA,2019,Forgery and Counterfeiting,1124,10710017,0.00010494847954022856
GA,2020,Forgery and Counterfeiting,724,10710017,6.760026618071662e-05
GA,2021,Forgery and Counterfeiting,887,10710017,8.281966312471773e-05
GA,2017,Fraud,3483,10710017,0.0003252095678279502
GA,2018,Fraud,2944,10710017,0.0002748828503260079
GA,2019,Fraud,1465,10710017,0.00013678783142921248
GA,2020,Fraud,1715,10710017,0.00016013046477890745
GA,2021,Fraud,3138,10710017,0.0002929967338053712
GA,2017,Larceny - Theft,29492,10710017,0.0027536837709968153
GA,2018,Larceny - Theft,25183,10710017,0.002351350142581473
GA,2019,Larceny - Theft,11876,10710017,0.0011088684546439096
GA,2020,Larceny - Theft,9955,10710017,0.0009295036599848535
GA,2021,Larceny - Theft,12264,10710017,0.0011450962216026362
GA,2017,Vandalism,3834,10710017,0.00035798262505092195
GA,2018,Vandalism,3681,10710017,0.00034369693344090866
GA,2019,Vandalism,2047,10710017,0.00019112948186730236
GA,2020,Vandalism,2861,10710017,0.00026713309605390915
GA,2021,Vandalism,3449,10710017,0.0003220349696923917
GA,2017,"Stolen Property: Buying, Receiving, Possessing",3438,10710017,0.0003210078938250051
GA,2018,"Stolen Property: Buying, Receiving, Possessing",2778,10710017,0.00025938334178181045
GA,2019,"Stolen Property: Buying, Receiving, Possessing",1432,10710017,0.00013370660382705274
GA,2020,"Stolen Property: Buying, Receiving, Possessing",1432,10710017,0.00013370660382705274
GA,2021,"Stolen Property: Buying, Receiving, Possessing",1763,10710017,0.00016461225038204888
HI,2017,Motor Vehicle Theft,423,1407006,0.0003006383768086277
HI,2018,Motor Vehicle Theft,416,1407006,0.00029566327364631
HI,2019,Motor Vehicle Theft,401,1407006,0.0002850023382984863
HI,2020,Motor Vehicle Theft,224,1407006,0.0001592033011941669
HI,2021,Motor Vehicle Theft,73,1407006,5.188321869274189e-05
HI,2017,Arson,23,1407006,1.6346767533329637e-05
HI,2018,Arson,34,1407006,2.4164786788400335e-05
HI,2019,Arson,44,1407006,3.1272077020282785e-05
HI,2020,Arson,45,1407006,3.198280604347103e-05
HI,2021,Arson,29,1407006,2.0611141672459107e-05
HI,2017,Burglary,436,1407006,0.0003098778541100749
HI,2018,Burglary,440,1407006,0.00031272077020282784
HI,2019,Burglary,437,1407006,0.00031058858313326313
HI,2020,Burglary,342,1407006,0.00024306932593037983
HI,2021,Burglary,204,1407006,0.000144988720730402
HI,2017,Embezzlement,14,1407006,9.950206324635431e-06
HI,2018,Embezzlement,8,1407006,5.685832185505961e-06
HI,2019,Embezzlement,1,1407006,7.107290231882451e-07
HI,2020,Embezzlement,4,1407006,2.8429160927529804e-06
HI,2021,Embezzlement,7,1407006,4.9751031623177155e-06
HI,2017,Forgery and Counterfeiting,81,1407006,5.7569050878247854e-05
HI,2018,Forgery and Counterfeiting,78,1407006,5.543686380868312e-05
HI,2019,Forgery and Counterfeiting,83,1407006,5.899050892462434e-05
HI,2020,Forgery and Counterfeiting,35,1407006,2.487551581158858e-05
HI,2021,Forgery and Counterfeiting,60,1407006,4.264374139129471e-05
HI,2017,Fraud,150,1407006,0.00010660935347823676
HI,2018,Fraud,166,1407006,0.00011798101784924868
HI,2019,Fraud,131,1407006,9.310550203766011e-05
HI,2020,Fraud,115,1407006,8.173383766664819e-05
HI,2021,Fraud,170,1407006,0.00012082393394200168
